"term","Y2","Y3","Y4","Y5","OR_Y2","OR_Y3","OR_Y4","OR_Y5"
"DPSDSF^7",0.289039633364928,0.390339069629595,1.16282001495326,1.66546240101156,1.33514464375479,1.47748167812586,3.19894163153332,5.28811791558264
"DPSDSF^8",-0.0532723133135164,0.0313147179207419,-0.433703492800163,-1.0144454898511,0.948121791138777,1.0318101819479,0.648104394617875,0.362603441384141
"SLP_02.L",0.373501512500564,0.351079216576379,0.0864913333921297,-0.110015717162145,1.45281276092195,1.42059985651203,1.09034191811098,0.895820055436817
"SLP_02.Q",-0.217232316034924,-0.152833373161141,-0.143146403383822,0.609110837561215,0.804742992885792,0.858272721167705,0.86662718245539,1.83879568362669
"SLP_02.C",0.0652381735782275,0.0720524578487916,-0.0665813523902397,0.0192013787234226,1.06741322373815,1.07471171965001,0.935586800537791,1.01938691078377
"SLP_02^4",0.00154102391442581,-0.0255097046789667,-0.120422218838117,-0.647412535077518,1.00154221190194,0.974812918673408,0.886546041244837,0.523398300946165
"GEOGCMA2.L",0.0149760317873241,0.0209307824095756,-0.185731457963039,0.378814584447861,1.01508873446147,1.02115136755415,0.830496588284562,1.4605522015429
"SPAGFRE.L",-0.120246374868979,-0.113342835728559,-0.330012803020393,-0.476824501368422,0.886701948726846,0.892844508641572,0.718914529095628,0.62075146076641
"SPAGFRE.Q",-0.0112263974691156,0.0351040987326585,-0.0021955404893271,0.48849840436975,0.988836383377083,1.03572752111029,0.997806867946764,1.62986698039623
"SPAGFRE.C",-0.0889249890445042,-0.0552258885816024,-0.130105239741349,-0.587731236546229,0.914914199588876,0.946271371911597,0.878003025246991,0.555586349940039
"SMKDSTY.L",0.298846640550178,0.301176274512085,0.0467963728262773,-0.328434532149665,1.34830283263604,1.35144754629952,1.04790860468543,0.72005006681278
"SMKDSTY.Q",0.0458882327271176,-0.0242360566910929,-0.192101996778097,-0.616937812638331,1.04695738884526,0.97605527818223,0.825222694142984,0.539594248979354
"SMKDSTY.C",-0.222204437518434,-0.200929844321436,0.550906921481234,1.08641660651306,0.800751643920967,0.817969814768357,1.73482565528325,2.96363515132787
"SMKDSTY^4",-0.105667098270761,-0.00109888341449048,-0.148664193603755,-0.921859125219828,0.899724117940841,0.998901720136791,0.86185848390181,0.397778832568014
"SMKDSTY^5",0.19856691408477,0.107298070986514,0.059969812614024,0.420805906907146,1.21965363669065,1.11326603733545,1.0618044929595,1.52318860932783
"ALCDTTM.L",0.0890801439375774,0.0665550363056928,0.268787829414793,0.250152920191147,1.09316826362477,1.06881978634897,1.30837751237272,1.28422178511387
"ALCDTTM.Q",-0.127265915495004,-0.136960701597149,-0.0157822692037331,0.407013573163518,0.880499503002683,0.872004493842658,0.984341618209116,1.50232449681962
"HWTGBMI",-0.00363549552620424,-0.0013695368900627,0.0084950263063956,-0.0220743744237375,0.996371104886643,0.998631400497606,1.00853121143433,0.978167481702979
